Budapest;Budapest;47,5;19,0833;Hungary;HU;HUN;Budapest;primary;1679000
Turin;Turin;45,0704;7,67;Italy;IT;ITA;Piedmont;admin;1652000
Suzhou;Suzhou;31,3005;120,62;China;CN;CHN;Jiangsu;minor;1650000
Ludhiāna;Ludhiana;30,9278;75,8723;India;IN;IND;Punjab;;1649000
Cincinnati;Cincinnati;39,1412;-84,506;United States;US;USA;Ohio;;1648254
Kumasi;Kumasi;6,69;-1,63;Ghana;GH;GHA;Ashanti;admin;1646000
Manhattan;Manhattan;40,7834;-73,9662;United States;US;USA;New York;;1643734
Qiqihar;Qiqihar;47,345;123,99;China;CN;CHN;Heilongjiang;minor;1641000
Anshan;Anshan;41,115;122,94;China;CN;CHN;Liaoning;;1639000
Austin;Austin;30,3006;-97,7517;United States;US;USA;Texas;admin;1638716
Zhongli;Zhongli;24,965;121,2168;Taiwan;TW;TWN;Taoyuan;;1632616
Handan;Handan;36,58;114,48;China;CN;CHN;Hebei;;1631000
Tai’an;Tai'an;36,2;117,1201;China;CN;CHN;Shandong;;1629000
Eşfahān;Esfahan;32,7;51,7;Iran;IR;IRN;Eşfahān;admin;1628000
Kansas City;Kansas City;39,1239;-94,5541;United States;US;USA;Missouri;;1615621
Yaoundé;Yaounde;3,8667;11,5167;Cameroon;CM;CMR;Centre;primary;1611000
Shantou;Shantou;23,37;116,67;China;CN;CHN;Guangdong;minor;1601000
Āgra;Agra;27,1704;78,015;India;IN;IND;Uttar Pradesh;;1592000
Zhanjiang;Zhanjiang;21,2;110,38;China;CN;CHN;Guangdong;minor;1590000
La Paz;La Paz;-16,498;-68,15;Bolivia;BO;BOL;La Paz;primary;1590000
Kalyān;Kalyan;19,2502;73,1602;India;IN;IND;Mahārāshtra;;1576614
Abuja;Abuja;9,0833;7,5333;Nigeria;NG;NGA;Federal Capital Territory;primary;1576000
Harare;Harare;-17,8178;31,0447;Zimbabwe;ZW;ZWE;Harare;primary;1572000
Indianapolis;Indianapolis;39,7771;-86,1458;United States;US;USA;Indiana;admin;1564699
Xiantao;Xiantao;30,3704;113,44;China;CN;CHN;Hubei;;1556000
Khulna;Khulna;22,84;89,56;Bangladesh;BD;BGD;Khulna;admin;1553000
Weifang;Weifang;36,7204;119,1001;China;CN;CHN;Shandong;;1553000
Tijuana;Tijuana;32,5;-117,08;Mexico;MX;MEX;Baja California;minor;1553000
Santiago;Santiago;19,5;-70,67;Dominican Republic;DO;DOM;Cibao Norte;admin;1550753
Xinyang;Xinyang;32,1304;114,07;China;CN;CHN;Henan;;1541000
Luzhou;Luzhou;28,88;105,38;China;CN;CHN;Sichuan;minor;1537000
Perth;Perth;-31,955;115,84;Australia;AU;AUS;Western Australia;admin;1532000
Toluca;Toluca;19,3304;-99,67;Mexico;MX;MEX;México;admin;1531000
Vishākhapatnam;Vishakhapatnam;17,73;83,305;India;IN;IND;Andhra Pradesh;;1529000
Leeds;Leeds;53,83;-1,58;United Kingdom;GB;GBR;Leeds;admin;1529000
Kōbe;Kobe;34,68;135,17;Japan;JP;JPN;Hyōgo;admin;1528478
Columbus;Columbus;39,986;-82,9851;United States;US;USA;Ohio;admin;1528314
Multan;Multan;30,2;71,455;Pakistan;PK;PAK;Punjab;minor;1522000
Kochi;Kochi;10,015;76,2239;India;IN;IND;Kerala;;1519000
Montevideo;Montevideo;-34,858;-56,1711;Uruguay;UY;URY;Montevideo;primary;1513000
Gujranwala;Gujranwala;32,1604;74,185;Pakistan;PK;PAK;Punjab;minor;1513000
Niterói;Niteroi;-22,9;-43,1;Brazil;BR;BRA;Rio de Janeiro;;1500513
Ganzhou;Ganzhou;25,92;114,95;China;CN;CHN;Jiangxi;minor;1500000
Florence;Florence;43,78;11,25;Italy;IT;ITA;Tuscany;admin;1500000
Liuzhou;Liuzhou;24,28;109,25;China;CN;CHN;Guangxi;minor;1497000
Bamako;Bamako;12,65;-8;Mali;ML;MLI;Bamako;primary;1494000
Conakry;Conakry;9,5315;-13,6802;Guinea;GN;GIN;Conakry;primary;1494000
Bursa;Bursa;40,2;29,07;Turkey;TR;TUR;Bursa;admin;1492000
León de los Aldama;Leon de los Aldama;21,15;-101,7;Mexico;MX;MEX;Guanajuato;minor;1488000
Virginia Beach;Virginia Beach;36,7335;-76,0435;United States;US;USA;Virginia;;1480383
Nāsik;Nasik;20,0004;73,78;India;IN;IND;Mahārāshtra;;1473000
Fushun;Fushun;41,8654;123,87;China;CN;CHN;Liaoning;;1470000
